dataset,classifier,param_filter__k,param_lasso__estimator__C,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,is_best,final_test_accuracy,param_svm__C,param_svm__kernel
Half-Flipped,lda,1000,0.01,0.654,0.652,0.6313333333333333,0.6273333333333333,0.6333333333333333,0.6396,0.011128342194594873,1,True,0.6404,,
Half-Flipped,lda,1000,0.1,0.6586666666666666,0.6346666666666667,0.622,0.6246666666666667,0.608,0.6296,0.01684755175092214,2,False,,,
Half-Flipped,lda,1000,1.0,0.632,0.6186666666666667,0.592,0.5973333333333334,0.5793333333333334,0.6038666666666667,0.01895210337198017,3,False,,,
Half-Flipped,lda,1000,10.0,0.6366666666666667,0.6013333333333334,0.588,0.6013333333333334,0.5786666666666667,0.6012000000000001,0.019697264333460703,4,False,,,
Half-Flipped,lda,1000,100.0,0.6353333333333333,0.5986666666666667,0.5866666666666667,0.5986666666666667,0.58,0.5998666666666667,0.019129500196758346,5,False,,,
Half-Flipped,logreg,1000,0.01,0.6526666666666666,0.648,0.634,0.6253333333333333,0.6326666666666667,0.6385333333333334,0.010184083442095091,1,True,0.6408,,
Half-Flipped,logreg,1000,0.1,0.66,0.6353333333333333,0.6266666666666667,0.6246666666666667,0.61,0.6313333333333333,0.016487031940959615,2,False,,,
Half-Flipped,logreg,1000,1.0,0.6366666666666667,0.6106666666666667,0.5893333333333334,0.596,0.578,0.6021333333333334,0.020244724964515813,3,False,,,
Half-Flipped,logreg,1000,100.0,0.6353333333333333,0.6,0.5906666666666667,0.5913333333333334,0.5813333333333334,0.5997333333333332,0.018755028955219192,4,False,,,
Half-Flipped,logreg,1000,10.0,0.6353333333333333,0.5973333333333334,0.59,0.59,0.5793333333333334,0.5984,0.01933839014327027,5,False,,,
Half-Flipped,svm,1000,0.1,0.8226666666666667,0.798,0.8233333333333334,0.8033333333333333,0.788,0.8070666666666666,0.013911466094157315,1,True,0.824,10.0,rbf
Half-Flipped,svm,1000,1.0,0.812,0.7853333333333333,0.8133333333333334,0.8073333333333333,0.786,0.8008,0.012517720772302503,2,False,,10.0,rbf
Half-Flipped,svm,1000,10.0,0.8013333333333333,0.7866666666666666,0.8126666666666666,0.812,0.7793333333333333,0.7984000000000001,0.013403813719319688,3,False,,10.0,rbf
Half-Flipped,svm,1000,100.0,0.7993333333333333,0.7853333333333333,0.81,0.812,0.778,0.7969333333333334,0.013390543927214723,4,False,,10.0,rbf
Half-Flipped,svm,1000,0.01,0.7673333333333333,0.7506666666666667,0.764,0.7513333333333333,0.7586666666666667,0.7584,0.006647973793236214,5,False,,10.0,rbf
Original,lda,1000,0.1,0.7946666666666666,0.786,0.776,0.7693333333333333,0.776,0.7804,0.008900436943081933,1,True,0.792,,
Original,lda,1000,0.01,0.7993333333333333,0.782,0.7713333333333333,0.7593333333333333,0.7766666666666666,0.7777333333333333,0.01315615614244696,2,False,,,
Original,lda,1000,1.0,0.7726666666666666,0.764,0.754,0.752,0.744,0.7573333333333332,0.009968840342676649,3,False,,,
Original,lda,1000,100.0,0.7746666666666666,0.7586666666666667,0.7473333333333333,0.7486666666666667,0.7433333333333333,0.7545333333333333,0.011261734620681956,4,False,,,
Original,lda,1000,10.0,0.7753333333333333,0.7606666666666667,0.7433333333333333,0.7486666666666667,0.7406666666666667,0.7537333333333334,0.012799999999999999,5,False,,,
Original,logreg,1000,0.01,0.8,0.7813333333333333,0.7746666666666666,0.758,0.7806666666666666,0.7789333333333334,0.013483158218887587,1,True,0.7928,,
Original,logreg,1000,0.1,0.784,0.7906666666666666,0.7693333333333333,0.7653333333333333,0.7746666666666666,0.7767999999999999,0.00933714208000619,2,False,,,
Original,logreg,1000,1.0,0.77,0.7533333333333333,0.7466666666666667,0.7473333333333333,0.74,0.7514666666666667,0.010184083442095105,3,False,,,
Original,logreg,1000,100.0,0.7673333333333333,0.7573333333333333,0.7466666666666667,0.748,0.7286666666666667,0.7495999999999999,0.012834675254516122,4,False,,,
Original,logreg,1000,10.0,0.766,0.756,0.7453333333333333,0.7466666666666667,0.7286666666666667,0.7485333333333333,0.012403583711528249,5,False,,,
Original,svm,1000,1.0,0.8733333333333333,0.898,0.892,0.8926666666666667,0.8753333333333333,0.8862666666666665,0.009983096825245303,1,True,0.9012,10.0,rbf
Original,svm,1000,10.0,0.876,0.8993333333333333,0.888,0.8913333333333333,0.8713333333333333,0.8852,0.010218936670058522,2,False,,10.0,rbf
Original,svm,1000,100.0,0.876,0.9006666666666666,0.8886666666666667,0.8893333333333333,0.8693333333333333,0.8848,0.010990096551997267,3,False,,10.0,rbf
Original,svm,1000,0.1,0.87,0.886,0.8873333333333333,0.8893333333333333,0.878,0.8821333333333333,0.007185169912163982,4,False,,10.0,rbf
Original,svm,1000,0.01,0.846,0.8426666666666667,0.8553333333333333,0.8413333333333334,0.846,0.8462666666666667,0.004891716354091741,5,False,,10.0,rbf
