dataset,classifier,param_filter__k,param_svm__C,param_svm__kernel,param_wrapper__n_features_to_select,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,is_best,final_test_accuracy
Half-Flipped,svm_wrapper,500,10.0,rbf,150,0.7726666666666666,0.7673333333333333,0.7486666666666667,0.766,0.7586666666666667,0.7626666666666667,0.008305286134611936,1,True,0.7716
Half-Flipped,svm_wrapper,500,1.0,rbf,150,0.7553333333333333,0.7633333333333333,0.728,0.742,0.7273333333333334,0.7432000000000001,0.01439999999999998,2,False,
Half-Flipped,svm_wrapper,500,10.0,rbf,100,0.7586666666666667,0.7533333333333333,0.7086666666666667,0.75,0.7233333333333334,0.7388,0.019383383490906726,3,False,
Half-Flipped,svm_wrapper,500,1.0,rbf,100,0.7446666666666667,0.7533333333333333,0.6866666666666666,0.73,0.716,0.7261333333333333,0.023488626089142716,4,False,
Half-Flipped,svm_wrapper,500,10.0,rbf,50,0.7206666666666667,0.7326666666666667,0.65,0.702,0.6506666666666666,0.6912,0.03477010209936118,5,False,
Half-Flipped,svm_wrapper,500,1.0,rbf,50,0.708,0.6966666666666667,0.65,0.6793333333333333,0.6253333333333333,0.6718666666666666,0.03039707588275922,6,False,
Half-Flipped,svm_wrapper,500,0.1,rbf,150,0.672,0.6893333333333334,0.648,0.6706666666666666,0.666,0.6692,0.013228924538466625,7,False,
Half-Flipped,svm_wrapper,500,0.1,rbf,100,0.6646666666666666,0.6866666666666666,0.632,0.646,0.6426666666666667,0.6544000000000001,0.01926931930989431,8,False,
Half-Flipped,svm_wrapper,500,0.1,rbf,50,0.6473333333333333,0.628,0.6206666666666667,0.6306666666666667,0.5913333333333334,0.6235999999999999,0.018342906591438054,9,False,
Original,svm_wrapper,500,10.0,rbf,150,0.8573333333333333,0.8553333333333333,0.862,0.8573333333333333,0.8633333333333333,0.8590666666666665,0.003057958650981267,1,True,0.85
Original,svm_wrapper,500,1.0,rbf,150,0.8513333333333334,0.8366666666666667,0.8493333333333334,0.8326666666666667,0.838,0.8416,0.0073708133125788295,2,False,
Original,svm_wrapper,500,10.0,rbf,100,0.8373333333333334,0.8486666666666667,0.8346666666666667,0.8306666666666667,0.848,0.8398666666666668,0.007234485315333615,3,False,
Original,svm_wrapper,500,1.0,rbf,100,0.84,0.826,0.8413333333333334,0.83,0.846,0.8366666666666667,0.007459520389706344,4,False,
Original,svm_wrapper,500,10.0,rbf,50,0.8246666666666667,0.7993333333333333,0.8186666666666667,0.826,0.836,0.8209333333333333,0.012151634549402062,5,False,
Original,svm_wrapper,500,1.0,rbf,50,0.824,0.798,0.8166666666666667,0.828,0.818,0.8169333333333333,0.010315899271405141,6,False,
Original,svm_wrapper,500,0.1,rbf,150,0.816,0.7813333333333333,0.8006666666666666,0.7873333333333333,0.7886666666666666,0.7947999999999998,0.012317286858539717,7,False,
Original,svm_wrapper,500,0.1,rbf,100,0.8066666666666666,0.7766666666666666,0.8,0.772,0.79,0.7890666666666666,0.01323026832683299,8,False,
Original,svm_wrapper,500,0.1,rbf,50,0.7926666666666666,0.764,0.78,0.774,0.7693333333333333,0.776,0.009861259779786974,9,False,
